AUDITV2_0201,caution_and_advice,,3,no,"Gives concrete smoke-health guidance, stay-indoors advice and emergency instructions."
AUDITV2_0202,injured_or_dead_people,requests_or_urgent_needs,2,yes,Reports hundreds dead and many trapped by rising floodwaters.
AUDITV2_0203,caution_and_advice,other_relevant_information,2,yes,Reports coastal residents preparing for the approaching hurricane.
AUDITV2_0204,not_humanitarian,,3,no,"Reports Nagaland flooding and evacuations, not the Kerala flood event."
AUDITV2_0205,infrastructure_and_utility_damage,,3,no,Person says their gym was destroyed by Irma.
AUDITV2_0206,caution_and_advice,injured_or_dead_people,2,yes,Storm-status update warns Irma remains deadly despite downgrade.
AUDITV2_0207,infrastructure_and_utility_damage,sympathy_and_support,2,yes,Reports friends lost their home and studio in the Camp Fire.
AUDITV2_0208,rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage,3,no,USACE deploys communications vehicles to support Florence response.
AUDITV2_0209,infrastructure_and_utility_damage,,3,no,"Explicitly describes damage to trees, lights, power poles and an overpass."
AUDITV2_0210,requests_or_urgent_needs,,3,no,Affected person directly asks for urgent help during Kerala flooding.
AUDITV2_0211,caution_and_advice,displaced_people_and_evacuations,2,yes,Criticizes lack of evacuation notice while emphasizing warning.
AUDITV2_0212,infrastructure_and_utility_damage,other_relevant_information,2,yes,Prime minister plans to view wildfire damage.
AUDITV2_0213,displaced_people_and_evacuations,,3,no,Explicitly reports mandatory evacuation and leaving.
AUDITV2_0214,infrastructure_and_utility_damage,sympathy_and_support,2,yes,Warns of potential storm-surge damage to hundreds of thousands of homes.
AUDITV2_0215,other_relevant_information,displaced_people_and_evacuations,2,yes,Reports looting of homes after earthquake evacuations.
AUDITV2_0216,injured_or_dead_people,,2,yes,Angry statement attributes thousands of deaths to someone's incompetence.
AUDITV2_0217,sympathy_and_support,injured_or_dead_people,3,no,Prayer appeal dominates after reporting 12 storm deaths.
AUDITV2_0218,caution_and_advice,displaced_people_and_evacuations,3,no,Explains when not to evacuate and why roads/shelters should remain clear.
AUDITV2_0219,caution_and_advice,other_relevant_information,3,no,"Active hazard warning describes dangerous winds, surge and deadly flooding."
AUDITV2_0220,missing_or_found_people,injured_or_dead_people,3,no,Reports 82 dead and nearly 700 unaccounted for.
AUDITV2_0221,injured_or_dead_people,,2,yes,Brief statement about a flood-related death count.
AUDITV2_0222,displaced_people_and_evacuations,requests_or_urgent_needs,3,no,Reports thousands of evacuees in reception centers and need for housing.
AUDITV2_0223,missing_or_found_people,injured_or_dead_people,3,no,"Reports more than 1,000 missing and at least 71 killed."
AUDITV2_0224,infrastructure_and_utility_damage,other_relevant_information,2,yes,Political commentary explicitly concerns destruction of personal property.
AUDITV2_0225,displaced_people_and_evacuations,caution_and_advice,3,no,Announces the start time for coastal evacuations.
AUDITV2_0226,other_relevant_information,rescue_volunteering_or_donation_effort,2,yes,Political criticism about diverting hurricane-relief funds.
AUDITV2_0227,infrastructure_and_utility_damage,other_relevant_information,3,no,Reports little overall damage but a creek overflowed its banks.
AUDITV2_0228,rescue_volunteering_or_donation_effort,displaced_people_and_evacuations,3,no,Navy aircraft rescued stranded people from flooded areas.
AUDITV2_0229,rescue_volunteering_or_donation_effort,,3,no,Chef is feeding first responders fighting wildfires.
AUDITV2_0230,infrastructure_and_utility_damage,not_humanitarian,2,yes,"Discusses wildfire destruction of homes, though framed with inflammatory commentary."
AUDITV2_0231,caution_and_advice,other_relevant_information,3,no,Warns of flash floods and heavy rain threatening New Orleans.
AUDITV2_0232,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,3,no,Explicitly says Chimanimani residents desperately need help and urges collective action.
AUDITV2_0233,requests_or_urgent_needs,,1,yes,"Urgent help appeal is clear, but the affected need is truncated."
